EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Valle skule;Ålesund (2020 - 2023);*;*;*;;
Vatne barneskule;Ålesund (2020 - 2023);*;*;*;;
Volsdalen skole;Ålesund (2020 - 2023);47;50;48;;
Ørskog skule;Ålesund (2020 - 2023);46;48;49;;
Aalesund International School Sti;Ålesund (2020 - 2023);59;*;55;;
Åse skole;Ålesund (2020 - 2023);51;53;55;;
Bjarnetjønna skole;Alstahaug;45;46;44;;
Søvik oppvekstsenter avd skole;Alstahaug;*;*;*;;
Tjøtta oppvekstsenter avd skole;Alstahaug;*;*;*;;
Andenes skole;Andøy;*;*;*;;
Bleik og Omegn Montessori Skolelag;Andøy;*;*;*;;
Risøyhamn skole;Andøy;*;*;*;;
Åse montessoriskole;Andøy;*;*;*;;
Beiarn barne- og ungdomsskole;Beiarn;*;*;*;;
Bindalseidet skole SA;Bindal;*;*;*;;
Terråk skole;Bindal;*;*;*;;
Alberthaugen skole;Bodø;*;;*;;
Alstad barneskole;Bodø;;51;;;
Aspåsen skole;Bodø;;;;;
Bodøsjøen skole;Bodø;47;44;43;;
Grønnåsen skole;Bodø;;;;;
Hunstad barneskole;Bodø;;;;;
Kjerringøy oppvekstsenter avd skole;Bodø;;;;;
Løpsmark skole;Bodø;;;;;
Misvær oppvekstsenter avd skole;Bodø;*;*;*;;
Mørkvedbukta skole;Bodø;;*;55;;
Mørkvedmarka skole;Bodø;;;;;
Rønvik skole;Bodø;;47;50;;
Saltstraumen skole;Bodø;;;;;
Saltvern skole;Bodø;;;;;
Skaug oppvekstsenter avd skole;Bodø;49;52;55;;
St Eysteins skole;Bodø;*;*;*;;
Tverlandet skole;Bodø;;;;;
Østbyen skole;Bodø;;;;;
Brønnøysund barneskole;Brønnøy;50;50;47;;
Brønnøysund ungdomsskole;Brønnøy;*;*;*;;
Hilstad Barne-Og ungdomsskole;Brønnøy;*;*;*;;
Nordhus skole;Brønnøy;46;52;*;;
Eidet skole;Bø;*;*;*;;
Steine skole;Bø;*;*;*;;
Straume skole;Bø;*;*;*;;
Dønna barne- og ungdomsskole;Dønna;*;*;*;;
Løkta oppvekstsenter avd skole;Dønna;*;*;*;;
Nord-Dønna montessoriskole;Dønna;*;*;*;;
Evenes skole;Evenes - Evenášši;48;48;54;;
Sulitjelma skole;Fauske - Fuossko;*;*;*;;
Valnesfjord skole;Fauske - Fuossko;*;*;*;;
Vestmyra skole;Fauske - Fuossko;45;45;44;;
Flakstad barne- og ungdomsskole;Flakstad;*;*;*;;
Vikten skole;Flakstad;*;*;*;;
Inndyr skole avd skole;Gildeskål;*;*;*;;
Nygårdsjøen oppvekstsenter avd skole;Gildeskål;*;*;;;
Sandhornøy skole;Gildeskål;*;*;*;;
Sørarnøy skole og barnehage avd skole;Gildeskål;*;*;*;;
Grane barne- og ungdomsskole;Grane;52;47;49;;
Drag skole;Hábmer - Hamarøy;*;*;*;;
Hamarøy montessoriskole;Hábmer - Hamarøy;*;*;*;;
Innhavet oppvekstsenter avd skole;Hábmer - Hamarøy;*;*;*;;
Oppeid skole;Hábmer - Hamarøy;*;*;*;;
Innlandet skole;Hadsel;*;*;*;;
Melbu skole;Hadsel;50;50;52;;
Sandnes skole;Hadsel;48;49;47;;
Stokmarknes skole;Hadsel;47;48;43;;
Strønstad skole;Hadsel;*;*;*;;
Bleikvassli skole;Hemnes;*;*;*;;
Finneidfjord skole;Hemnes;*;*;*;;
Hemnes sentralskole;Hemnes;43;42;45;;
Korgen sentralskole;Hemnes;43;49;48;;
Herøy skole;Herøy (Nordland);49;51;57;;
Leirfjord barne- og ungdomsskole;Leirfjord;45;45;45;;
Aldersund oppvekstsenter skole Barneskole;Lurøy;*;*;*;;
Konsvik oppvekstsenter avd skole;Lurøy;*;*;*;;
Kvarøy oppvekstsenter skole;Lurøy;*;*;*;;
Lovund skole;Lurøy;51;45;44;;
Onøy Lurøy oppvekstsenter avd skole;Lurøy;*;*;*;;
Sleneset oppvekstsenter skole;Lurøy;;;*;;
Lødingen skole;Lødingen;*;*;*;;
Vestbygd skole;Lødingen;*;*;*;;
Bolga oppvekstsenter avd skole;Meløy;*;*;*;;
Enga skole;Meløy;*;*;*;;
Glomfjord skole;Meløy;*;*;*;;
Halsa skole;Meløy;47;49;51;;
Neverdal Enspire skole AS;Meløy;53;54;58;;
Reipå skole;Meløy;*;*;*;;
Spildra skole;Meløy;49;50;48;;
Sørvågen skole;Moskenes;*;*;*;;
Ankenes skole;Narvik;47;46;43;;
Ballangen skole;Narvik;44;45;45;;
Beisfjord barneskole;Narvik;47;46;42;;
Bjerkvik skole;Narvik;46;48;52;;
Frydenlund skole;Narvik;49;50;50;;
Håkvik barneskole;Narvik;46;50;50;;
Kjøpsvik skole;Narvik;*;*;*;;
Narvik montessoriskole;Narvik;49;48;48;;
Skistua barneskole;Narvik;45;48;44;;
Skjomen skole;Narvik;*;*;*;;
Nesna skole avd Nesna;Nesna;51;50;49;;
Båsmo barneskole;Rana - Raane;48;49;52;;
Dalsgrenda montessoriskole SA;Rana - Raane;*;*;*;;
Gruben barneskole;Rana - Raane;52;52;54;;
Grønfjelldal montessoriskole SA;Rana - Raane;*;*;*;;
Hauknes skole;Rana - Raane;54;51;51;;
Lyngheim skole;Rana - Raane;49;48;44;;
Selfors barneskole;Rana - Raane;48;47;45;;
Skonseng skole;Rana - Raane;48;52;48;;
Storforshei barne- og ungdomsskole;Rana - Raane;*;*;*;;
Utskarpen barne- og ungdomsskole;Rana - Raane;*;*;*;;
Ytteren skole;Rana - Raane;49;49;47;;
Jektvik skole;Rødøy;*;*;*;;
Nesøy skole;Rødøy;*;*;*;;
Rødøy skole;Rødøy;*;*;*;;
Tjongsfjord skole;Rødøy;*;*;*;;
Øresvik skole;Rødøy;;*;*;;
Røst barne- og ungdomsskole;Røst;*;*;*;;
Rognan barneskole;Saltdal;47;47;46;;
Røkland skole grunnskolen;Saltdal;46;46;51;;
Holmstad skole;Sortland - Suortá;*;*;*;;
Jennestad montessoriskole;Sortland - Suortá;*;*;*;;
