EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Riddersand skole;Lillestrøm;51;47;47;59.917226;11.169982
Sagdalen skole;Lillestrøm;51;45;48;59.950985;11.011879
Skjetten skole;Lillestrøm;51;47;48;59.9599672;10.9966942
Sten-Tærud skole;Lillestrøm;54;52;52;59.9955063;11.0405668
Sørum skole;Lillestrøm;48;48;47;60.0107612;11.236591
Sørumsand skole;Lillestrøm;53;48;48;59.979004;11.2334026
Vesterskaun skole;Lillestrøm;51;46;46;60.0214556;11.1654336
Vigernes skole;Lillestrøm;52;49;50;59.9551457;11.0717551
Volla skole;Lillestrøm;51;47;46;59.9650925;11.0441717
Åsenhagen skole;Lillestrøm;50;48;49;60.0088209;11.033627
Grua skole;Lunner;50;47;46;60.2586759;10.6605932
Harestua skole;Lunner;47;50;49;60.2110977;10.7130379
Lunner barneskole;Lunner;46;48;47;60.2966283;10.5577044
Benterud skole;Lørenskog;50;47;46;60.159879;10.249777
Finstad skole;Lørenskog;50;51;50;59.7158004;10.8220352
Fjellhamar skole;Lørenskog;50;48;46;59.9385768;10.9781045
Kurland skole;Lørenskog;53;53;52;59.9331299;11.0182876
Luhr skole;Lørenskog;51;49;48;59.9434059;10.9554905
Lørenskog friskole;Lørenskog;52;54;53;59.931378;10.929107
Rasta skole;Lørenskog;55;52;50;59.920513;10.938593
Rudolf steinerskolen Lørenskog Sti;Lørenskog;43;45;42;0;0
Solheim skole;Lørenskog;55;49;53;59.9299351;10.9542929
Åsen skole;Lørenskog;52;46;48;61.026777;10.753892
Eltonåsen skole;Nannestad;47;46;44;60.13167;11.014821
Kringler-Slattum skole;Nannestad;52;51;52;60.1713182;10.9951456
Maura skole;Nannestad;50;45;46;60.257005;11.04067
Preståsen skole;Nannestad;52;50;47;60.222015;11.026929
Auli skole;Nes;51;43;44;60.035082;11.360623
Fenstad skole;Nes;52;48;52;60.2156359;11.4020068
Fjellfoten skole;Nes;55;48;48;60.093182;11.474796
Framtun skole;Nes;46;42;45;60.060872;11.409578
Hoppensprett Akademiet Brårud AS;Nes;*;*;*;0;0
Neskollen skole;Nes;50;49;50;60.125442;11.3394039
Romerike International School Sti;Nes;*;*;*;0;0
Skogbygda skole;Nes;51;47;51;60.2283522;11.5155903
Østgård skole;Nes;45;45;51;60.120193;11.530076
Årnes skole;Nes;48;48;49;60.129706;11.476634
Berger skole;Nesodden;47;50;46;61.89333;11.076386
Bjørnemyr skole;Nesodden;49;50;50;59.8286715;10.6412046
Fjellstrand skole;Nesodden;56;57;55;59.7964325;10.6228268
Jaer skole;Nesodden;54;57;52;59.7906901;10.6901685
Myklerud skole;Nesodden;48;48;50;59.7465612;10.6138539
Nesoddtangen skole;Nesodden;48;52;50;59.854107;10.665036
Rudolf steinerskolen stiftelsen avd Undervisning;Nesodden;37;49;43;0;0
Elvetangen skole;Nittedal;52;52;51;60.1123359;10.8483702
Holumskogen skole;Nittedal;49;48;47;59.98366;10.938499
Rotnes skole;Nittedal;49;52;49;60.055015;10.873204
Slattum skole;Nittedal;51;49;50;60.0095081;10.9162318
Sørli skole;Nittedal;51;54;55;60.0580758;10.8526188
Ulverud skole;Nittedal;50;49;50;59.9962577;10.9211237
Bøleråsen skole;Nordre Follo;50;50;48;59.763816;10.856641
Finstad skole;Nordre Follo;50;49;51;59.7158004;10.8220352
Follo barne- og ungdomsskole;Nordre Follo;;;;59.7659528;10.8440732
Greverud skole;Nordre Follo;49;50;50;59.768128;10.811089
Hans Nielsen Hauges grunnskole Follo AS;Nordre Follo;*;*;*;0;0
Hebekk skole;Nordre Follo;53;52;54;59.7251426;10.832854
Kolbotn skole;Nordre Follo;51;51;52;59.8126987;10.803732
Kråkstad skole;Nordre Follo;50;49;48;59.6777853;10.8856734
Langhus skole;Nordre Follo;51;49;50;59.7475074;10.8388317
Siggerud skole;Nordre Follo;*;*;*;59.7905422;10.8894795
Ski skole;Nordre Follo;51;49;50;59.7204986;10.8445851
Sofiemyr skole Holbergsvei;Nordre Follo;47;46;46;59.797734;10.8143635
Tårnåsen skole;Nordre Follo;55;54;54;59.8133221;10.8218247
Vassbonn skole;Nordre Follo;48;51;51;59.8116387;10.7851018
Vevelstadåsen skole;Nordre Follo;48;45;44;59.756978;10.8485339
Østli skole;Nordre Follo;49;51;53;59.7822257;10.8061144
Blystadlia skole;Rælingen;55;47;49;59.93098;11.0407883
Fjerdingby skole og Ressursavdeling;Rælingen;50;46;48;59.9262051;11.0636737
Løvenstad skole;Rælingen;54;50;50;59.9363659;11.0268006
Nordby skole;Rælingen;44;46;48;59.724593;10.762042
Rud skole;Rælingen;50;48;50;59.945426;11.0425244
Smestad skole;Rælingen;50;51;50;59.9327026;10.6826142
Algarheim skole;Ullensaker;53;49;56;60.1449695;11.249831
Bakke skole;Ullensaker;51;48;46;60.069306;11.1316971
Borgen skole;Ullensaker;57;53;55;60.098577;11.220049
Døli skole;Ullensaker;52;45;48;60.1377055;11.1678273
Gystadmarka skole;Ullensaker;53;49;46;60.152274;11.191579
Hovin skole;Ullensaker;50;46;47;59.6234244;11.0799735
Jessheim skole og ressurssenter;Ullensaker;50;45;47;60.1473289;11.1738241
Mogreina skole;Ullensaker;56;50;51;60.2281526;11.1662085
Nordkisa skole;Ullensaker;49;47;47;60.190056;11.259017
Skogmo skole;Ullensaker;50;47;46;60.1376293;11.2011916
Åreppen skole;Ullensaker;51;47;53;60.08626;11.131884
Bjørlien skole;Vestby;52;48;49;59.5980723;10.7071265
Brevik skole;Vestby;50;50;50;59.5040925;10.6912817
Hølen skole;Vestby;46;49;50;59.5419825;10.7382482
Son skole;Vestby;48;50;51;59.519704;10.7005968
Vestby skole;Vestby;51;46;50;59.5968072;10.7569116
Brønnerud skole;Ås;*;*;*;59.6645457;10.7512528
Nordby skole;Ås;49;49;49;59.724593;10.762042
Rustad skole;Ås;54;51;50;59.8714475;10.8391353
Sjøskogen skole;Ås;52;50;50;59.7416273;10.7718757
Solberg skole;Ås;51;50;49;59.763357;10.077614
Steinerskolen i Ås;Ås;*;*;*;59.6865617;10.8116304
Åsgård skole;Ås;51;52;53;59.6637337;10.7866962
Akademiet realfagsskole Drammen AS;Drammen;*;*;*;0;0
Aronsløkka skole;Drammen;55;50;52;59.7624067;10.1289493
Bragernes skole;Drammen;53;52;53;59.7485795;10.2260466
Brandengen skole;Drammen;51;43;44;59.7292059;10.2227334
Danvik skole;Drammen;54;50;51;59.7351845;10.1929065
Fjell skole;Drammen;51;45;45;59.7197261;10.2238158
Gulskogen skole;Drammen;52;45;48;59.73999;10.17048
Hallermoen skole;Drammen;50;49;52;59.7283256;10.1467357
Konnerud skole;Drammen;51;48;52;59.7217704;10.133261
Krokstad skole;Drammen;49;46;44;59.758275;10.0004039
Mjøndalen skole;Drammen;54;49;55;59.7477459;10.0124481
Norlights montessoriskole Drammen AS;Drammen;*;*;*;0;0
Rosendal skole;Drammen;*;*;*;59.7501414;10.0259396
Rødskog skole;Drammen;52;50;52;59.7450104;10.1598414
Skoger skole;Drammen;54;48;49;59.6852526;10.2509535
Solberg skole;Drammen;51;47;46;59.763357;10.077614
Steinberg skole;Drammen;53;48;46;59.758595;9.9725525
Stenseth skole;Drammen;52;47;49;59.760384;10.035932
Tangen skole;Drammen;*;51;50;60.6166324;11.2590873
Tømmerås skole;Drammen;46;43;41;59.605797;10.402626
Vestbygda skole;Drammen;48;47;50;59.6959739;10.1662574
Øren skole;Drammen;52;50;49;59.7524187;10.1693938
Åsen skole;Drammen;54;51;53;61.026777;10.753892
Åskollen skole;Drammen;57;51;53;59.7134237;10.2604475
Åssiden skole;Drammen;48;43;43;59.752116;10.144363
Flesberg skole;Flesberg;51;51;50;59.8385947;9.5721763
Flå skole;Flå;40;40;41;63.196733;10.316501
Gol skule;Gol;48;47;46;60.7052273;8.9369401
Hemsedal skole;Hemsedal;51;48;52;60.862643;8.561334
Geilo barne- og ungdomsskole;Hol;49;49;50;60.53399;8.21917
Hallingskarvet skole;Hol;45;48;45;60.6154819;8.2980795
Røyse skole;Hole;*;*;*;60.0915234;10.2196871
Sundvollen oppvekstsenter Avdeling skole;Hole;53;52;55;0;0
Tyrifjord barne- og ungdomsskole;Hole;*;*;*;60.068448;10.171658
Vik skole;Hole;52;52;51;65.313092;12.1685992
Efteløt skole;Kongsberg;*;*;*;59.550077;9.811701
Gamlegrendåsen skole;Kongsberg;49;50;48;59.6507825;9.664883
Hvittingfoss barne- og ungdomsskole;Kongsberg;*;*;*;59.489087;10.00927
Kongsberg steinerskole AS;Kongsberg;*;*;*;0;0
Kongsgårdmoen skole;Kongsberg;52;48;50;59.6270015;9.6470317
Madsebakken skole;Kongsberg;48;51;53;59.668946;9.673686
Raumyr skole;Kongsberg;50;49;51;59.675182;9.654772
Skavanger skole;Kongsberg;49;47;46;59.6820409;9.6281613
Stiftelsen Kongsberg International School;Kongsberg;*;*;*;0;0
Wennersborg skole;Kongsberg;56;49;51;59.6532015;9.6398211
Krødsherad skole;Krødsherad;49;49;54;60.1241455;9.7871805
Egge skole;Lier;*;*;*;59.8142403;10.2137001
Gullaug skole;Lier;50;49;46;59.7510794;10.2827686
Hallingstad skole;Lier;53;49;49;59.810284;10.2696538
Hegg skole;Lier;51;46;50;59.7827027;10.243788
Heia skole;Lier;50;45;50;59.8210699;10.3290309
