EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Vartdal skule;Ørsta;48;43;*;;
Ørsta ungdomsskule;Ørsta;*;*;50;;
Ålesund;Ålesund (2020 - 2023);49;48;49;;
Blindheim ungdomsskole;Ålesund (2020 - 2023);49;48;49;;
Brattvåg ungdomsskule;Ålesund (2020 - 2023);49;47;47;;
Ellingsøy barne- og ungdomsskole;Ålesund (2020 - 2023);48;47;48;;
Haramsøy barne- og ungdomsskule;Ålesund (2020 - 2023);46;45;46;;
Harøy skule;Ålesund (2020 - 2023);51;51;48;;
Hatlane skole;Ålesund (2020 - 2023);;;;;
Hildre montessoriskule SA;Ålesund (2020 - 2023);*;*;*;;
Kolvikbakken ungdomsskole;Ålesund (2020 - 2023);51;51;51;;
Møre barne- og ungdomsskule Skodje AS;Ålesund (2020 - 2023);*;*;*;;
Skarbøvik ungdomsskole;Ålesund (2020 - 2023);48;46;47;;
Skodje barne- og ungdomsskole avd ungdomsskole;Ålesund (2020 - 2023);47;49;48;;
Spjelkavik ungdomsskole;Ålesund (2020 - 2023);47;47;47;;
Steinerskolen Ålesund;Ålesund (2020 - 2023);*;*;*;;
Stiftelsen Møre barne- og Ungdomsskule, Ålesund;Ålesund (2020 - 2023);51;53;52;;
Vatne ungdomsskule;Ålesund (2020 - 2023);49;46;49;;
Ørskog skule;Ålesund (2020 - 2023);52;52;56;;
Aalesund International School Sti;Ålesund (2020 - 2023);*;*;*;;
Sandnessjøen ungdomsskole;Alstahaug;46;48;45;;
Søvik oppvekstsenter avd skole;Alstahaug;*;*;*;;
Tjøtta oppvekstsenter avd skole;Alstahaug;*;*;*;;
Andenes skole;Andøy;50;49;50;;
Risøyhamn skole;Andøy;50;50;48;;
Beiarn barne- og ungdomsskole;Beiarn;*;*;*;;
Bindalseidet skole SA;Bindal;*;*;*;;
Terråk skole;Bindal;*;*;*;;
Alberthaugen skole;Bodø;*;*;*;;
Alstad ungdomsskole;Bodø;50;47;50;;
Bankgata ungdomsskole;Bodø;;;;;
Bodøsjøen skole;Bodø;53;50;48;;
Hunstad ungdomsskole;Bodø;;;;;
Kjerringøy oppvekstsenter avd skole;Bodø;;;;;
Løpsmark skole;Bodø;;;;;
Misvær oppvekstsenter avd skole;Bodø;*;*;*;;
Norges Toppidrettsgymnas ungdomsskole Bodø AS;Bodø;*;*;*;;
Rønvik skole;Bodø;52;;;;
Saltstraumen skole;Bodø;;;;;
Saltvern skole;Bodø;;;;;
Skjerstad oppvekstsenter avd skole;Bodø;;;;;
Skolen i Væran avd skole;Bodø;*;*;*;;
St Eysteins skole;Bodø;*;*;*;;
Tverlandet skole;Bodø;;;;;
Brønnøysund barneskole;Brønnøy;*;49;49;;
Brønnøysund ungdomsskole;Brønnøy;*;*;*;;
Hilstad Barne-Og ungdomsskole;Brønnøy;*;*;*;;
Bø ungdomsskole;Bø;49;46;46;;
Dønna barne- og ungdomsskole;Dønna;*;*;*;;
Løkta oppvekstsenter avd skole;Dønna;*;*;*;;
Evenes skole;Evenes - Evenášši;*;*;*;;
Sulitjelma skole;Fauske - Fuossko;*;*;*;;
Valnesfjord skole;Fauske - Fuossko;*;*;*;;
Vestmyra skole;Fauske - Fuossko;47;48;47;;
Flakstad barne- og ungdomsskole;Flakstad;*;*;*;;
Vikten skole;Flakstad;*;*;*;;
Inndyr skole avd skole;Gildeskål;*;*;*;;
Nygårdsjøen oppvekstsenter avd skole;Gildeskål;*;*;*;;
Sandhornøy skole;Gildeskål;*;*;*;;
